permno,date,return,price,shares_outstanding,volume,return_ex_dividends,market_cap,entry_year,total_assets,current_assets,common_equity,cash_equivalents,cost_of_goods_sold,debt_current,debt_long_term,depreciation_amortization,income_before_extraordinary_items,inventories,liabilities_current,liabilities_total,net_income,property_plant_equipment,sales,stockholders_equity
91233,2011-02-28,0.017124,240.56,123656.0,175699.0,0.017124,29746687.36,2013.0,8837.0,6454.0,5205.0,4198.0,816.0,43.0,1.0,42.0,415.0,0.0,3143.0,3621.0,415.0,439.0,1438.0,5205.0
91233,2011-03-31,0.046392,251.72,123656.0,210082.0,0.046392,31126688.32,2013.0,8837.0,6454.0,5205.0,4198.0,816.0,43.0,1.0,42.0,415.0,0.0,3143.0,3621.0,415.0,439.0,1438.0,5205.0
91233,2011-04-29,0.096615,275.89001,123656.0,162710.0,0.096019,34115455.076560006,2013.0,8837.0,6454.0,5205.0,4198.0,816.0,43.0,1.0,42.0,415.0,0.0,3143.0,3621.0,415.0,439.0,1438.0,5205.0
91233,2011-05-31,0.040451,287.04999,120665.0,184353.0,0.040451,34636887.043349996,2013.0,8502.0,6073.0,5191.0,3939.0,623.0,43.0,1.0,42.0,562.0,0.0,2791.0,3300.0,562.0,436.0,1501.0,5191.0
91233,2011-06-30,0.049782,301.34,120665.0,281276.0,0.049782,36361191.099999994,2013.0,8502.0,6073.0,5191.0,3939.0,623.0,43.0,1.0,42.0,562.0,0.0,2791.0,3300.0,562.0,436.0,1501.0,5191.0
91233,2011-07-29,0.006836,303.25,120665.0,221119.0,0.006338,36591661.25,2013.0,8502.0,6073.0,5191.0,3939.0,623.0,43.0,1.0,42.0,562.0,0.0,2791.0,3300.0,562.0,436.0,1501.0,5191.0
91233,2011-08-31,0.087255,329.70999,120688.0,412145.0,0.087255,39792039.27312,2013.0,9025.0,6011.0,5470.0,3604.0,732.0,43.0,1.0,49.0,608.0,0.0,2964.0,3544.0,608.0,454.0,1667.0,5470.0
91233,2011-09-30,-0.038064,317.16,120688.0,354540.0,-0.038064,38277406.080000006,2013.0,9025.0,6011.0,5470.0,3604.0,732.0,43.0,1.0,49.0,608.0,0.0,2964.0,3544.0,608.0,454.0,1667.0,5470.0
91233,2011-10-31,0.095315,347.23999,120688.0,257934.0,0.094842,41907699.913119994,2013.0,9025.0,6011.0,5470.0,3604.0,732.0,43.0,1.0,49.0,608.0,0.0,2964.0,3544.0,608.0,454.0,1667.0,5470.0
91233,2011-11-30,0.078649,374.54999,121362.0,231571.0,0.078649,45456135.886379994,2013.0,9674.0,6753.0,5972.0,4392.0,764.0,43.0,1.0,51.0,717.0,0.0,3105.0,3692.0,717.0,450.0,1818.0,5972.0
91233,2011-12-30,-0.004619,372.82001,121362.0,171619.0,-0.004619,45246182.05362,2013.0,9674.0,6753.0,5972.0,4392.0,764.0,43.0,1.0,51.0,717.0,0.0,3105.0,3692.0,717.0,450.0,1818.0,5972.0
91233,2012-01-31,-0.045867,355.57001,121362.0,248022.0,-0.046269,43152687.55362,2013.0,9674.0,6753.0,5972.0,4392.0,764.0,43.0,1.0,51.0,717.0,0.0,3105.0,3692.0,717.0,450.0,1818.0,5972.0
91233,2012-02-29,0.181202,420.0,121336.0,231282.0,0.181202,50961120.0,2013.0,10693.0,7741.0,5868.0,4949.0,916.0,43.0,1.0,52.0,19.0,0.0,4217.0,4816.0,19.0,449.0,1728.0,5868.0
91233,2012-03-30,0.001286,420.54001,121336.0,165371.0,0.001286,51026642.65336,2013.0,10693.0,7741.0,5868.0,4949.0,916.0,43.0,1.0,52.0,19.0,0.0,4217.0,4816.0,19.0,449.0,1728.0,5868.0
91233,2012-04-30,0.076164,452.26999,121304.0,175609.0,0.075451,54862158.866960004,2013.0,10693.0,7741.0,5868.0,4949.0,916.0,43.0,1.0,52.0,19.0,0.0,4217.0,4816.0,19.0,449.0,1728.0,5868.0
91233,2012-05-31,-0.101178,406.51001,121246.0,248471.0,-0.101178,49287712.672460005,2013.0,11131.0,8113.0,6371.0,5177.0,704.0,43.0,1.0,54.0,682.0,0.0,4092.0,4752.0,682.0,450.0,1758.0,6371.0
91233,2012-06-29,0.058055,430.10999,121246.0,159693.0,0.058055,52149115.84754,2013.0,11131.0,8113.0,6371.0,5177.0,704.0,43.0,1.0,54.0,682.0,0.0,4092.0,4752.0,682.0,450.0,1758.0,6371.0
91233,2012-07-31,0.015717,436.57001,121246.0,173921.0,0.01502,52932367.43246,2013.0,11131.0,8113.0,6371.0,5177.0,704.0,43.0,1.0,54.0,682.0,0.0,4092.0,4752.0,682.0,450.0,1758.0,6371.0
91233,2012-08-31,-0.031312,422.89999,119684.0,155921.0,-0.031312,50614362.40316,2013.0,11240.0,8283.0,6265.0,4992.0,770.0,43.0,1.0,56.0,700.0,0.0,4307.0,4964.0,700.0,458.0,1820.0,6265.0
91233,2012-09-28,0.067581,451.48001,119684.0,129352.0,0.067581,54034933.516839996,2013.0,11240.0,8283.0,6265.0,4992.0,770.0,43.0,1.0,56.0,700.0,0.0,4307.0,4964.0,700.0,458.0,1820.0,6265.0
91233,2012-10-31,0.021596,460.92999,119276.0,166716.0,0.020931,54977885.487239994,2013.0,12120.0,9072.0,6912.0,5675.0,796.0,43.0,1.0,58.0,772.0,0.0,4548.0,5196.0,772.0,465.0,1918.0,6912.0
91233,2012-11-30,0.060204,488.67999,119276.0,137888.0,0.060204,58287794.487239994,2013.0,12120.0,9072.0,6912.0,5675.0,796.0,43.0,1.0,58.0,772.0,0.0,4548.0,5196.0,772.0,465.0,1918.0,6912.0
91233,2012-12-31,0.00532,491.28,119276.0,131936.0,0.00532,58597913.279999994,2013.0,12120.0,9072.0,6912.0,5675.0,796.0,43.0,1.0,58.0,772.0,0.0,4548.0,5196.0,772.0,465.0,1918.0,6912.0
91233,2013-01-31,0.055813,518.40002,119276.0,194398.0,0.055203,61832680.78552,2013.0,12462.0,9357.0,6917.0,5765.0,934.0,43.0,1.0,62.0,605.0,0.0,4906.0,5533.0,605.0,472.0,1895.0,6917.0
91233,2013-02-28,-0.001119,517.82001,117962.0,121396.0,-0.001119,61083084.01962,2013.0,12462.0,9357.0,6917.0,5765.0,934.0,43.0,1.0,62.0,605.0,0.0,4906.0,5533.0,605.0,472.0,1895.0,6917.0
91233,2013-03-28,0.045016,541.13,117962.0,116041.0,0.045016,63832777.06,2013.0,12462.0,9357.0,6917.0,5765.0,934.0,43.0,1.0,62.0,605.0,0.0,4906.0,5533.0,605.0,472.0,1895.0,6917.0
91233,2013-04-30,0.022915,552.92999,116911.0,114134.0,0.021806,64643598.06089,2013.0,12462.0,9357.0,6917.0,5765.0,934.0,43.0,1.0,62.0,605.0,0.0,4906.0,5533.0,605.0,472.0,1895.0,6917.0
91233,2013-05-31,0.031324,570.25,116858.0,121213.0,0.031324,66638274.5,2013.0,11809.0,8783.0,6743.0,5744.0,737.0,43.0,1.0,62.0,766.0,0.0,4414.0,5053.0,766.0,468.0,1906.0,6743.0
91233,2013-06-28,0.007453,574.5,116858.0,139596.0,0.007453,67134921.0,2013.0,11809.0,8783.0,6743.0,5744.0,737.0,43.0,1.0,62.0,766.0,0.0,4414.0,5053.0,766.0,468.0,1906.0,6743.0
91233,2013-07-31,0.063899,610.60999,115994.0,157724.0,0.062855,70827095.18006,2013.0,12021.0,8962.0,7018.0,5814.0,807.0,43.0,1.0,61.0,848.0,0.0,4327.0,4992.0,848.0,471.0,2096.0,7018.0
91233,2013-08-30,-0.007419,606.08002,115994.0,141854.0,-0.007419,70301645.83988,2013.0,12021.0,8962.0,7018.0,5814.0,807.0,43.0,1.0,61.0,848.0,0.0,4327.0,4992.0,848.0,471.0,2096.0,7018.0
91233,2013-09-30,0.110051,672.78003,115994.0,122678.0,0.110051,78038446.79982,2013.0,12021.0,8962.0,7018.0,5814.0,807.0,43.0,1.0,61.0,848.0,0.0,4327.0,4992.0,848.0,471.0,2096.0,7018.0
91233,2013-10-31,0.066768,717.09998,115994.0,124488.0,0.065876,83179295.08012,2013.0,13730.0,10559.0,7657.0,6734.0,906.0,43.0,1.0,64.0,879.0,0.0,5420.0,6062.0,879.0,474.0,2218.0,7657.0
91233,2013-11-29,0.060954,760.81,115801.0,90008.0,0.060954,88102558.80999999,2013.0,13730.0,10559.0,7657.0,6734.0,906.0,43.0,1.0,64.0,879.0,0.0,5420.0,6062.0,879.0,474.0,2218.0,7657.0
91233,2013-12-31,0.098119,835.46002,115801.0,162115.0,0.098119,96747105.77602,2013.0,13730.0,10559.0,7657.0,6734.0,906.0,43.0,1.0,64.0,879.0,0.0,5420.0,6062.0,879.0,474.0,2218.0,7657.0
91233,2014-01-31,-0.092835,75.68,1158010.0,957574.0,-0.094152,87638196.80000001,2013.0,14242.0,10950.0,7484.0,7018.0,1040.0,43.0,1.0,71.0,623.0,0.0,6032.0,6747.0,623.0,526.0,2126.0,7484.0
91233,2014-02-28,0.026956,77.72,1141285.0,1304105.0,0.026956,88700670.2,2013.0,14242.0,10950.0,7484.0,7018.0,1040.0,43.0,1.0,71.0,623.0,0.0,6032.0,6747.0,623.0,526.0,2126.0,7484.0
91233,2014-03-31,-0.038858,74.7,1141285.0,1250317.0,-0.038858,85253989.5,2013.0,14242.0,10950.0,7484.0,7018.0,1040.0,43.0,1.0,71.0,623.0,0.0,6032.0,6747.0,623.0,526.0,2126.0,7484.0
91233,2014-04-30,-0.013922,73.55,1127407.0,1470257.0,-0.015395,82920784.85,2013.0,14242.0,10950.0,7484.0,7018.0,1040.0,43.0,1.0,71.0,623.0,0.0,6032.0,6747.0,623.0,526.0,2126.0,7484.0
91233,2014-05-30,0.039429,76.45,1123699.0,899391.0,0.039429,85906788.55,2013.0,14802.0,11342.0,6567.0,7102.0,814.0,43.0,1494.0,73.0,870.0,0.0,5994.0,8224.0,870.0,528.0,2172.0,6567.0
91233,2014-06-30,-0.03898,73.47,1123699.0,960699.0,-0.03898,82558165.53,2013.0,14802.0,11342.0,6567.0,7102.0,814.0,43.0,1494.0,73.0,870.0,0.0,5994.0,8224.0,870.0,528.0,2172.0,6567.0
91233,2014-07-31,0.010753,74.15,1114356.0,974021.0,0.009255,82629497.4,2013.0,14375.0,10577.0,6266.0,6254.0,904.0,43.0,1494.0,81.0,931.0,0.0,5790.0,8061.0,931.0,539.0,2368.0,6266.0
91233,2014-08-29,0.022387,75.81,1114356.0,740066.0,0.022387,84479328.36,2013.0,14375.0,10577.0,6266.0,6254.0,904.0,43.0,1494.0,81.0,931.0,0.0,5790.0,8061.0,931.0,539.0,2368.0,6266.0
91233,2014-09-30,-0.024931,73.92,1114356.0,945185.0,-0.024931,82373195.52,2013.0,14375.0,10577.0,6266.0,6254.0,904.0,43.0,1494.0,81.0,931.0,0.0,5790.0,8061.0,931.0,539.0,2368.0,6266.0
91233,2014-10-31,0.13447,83.75,1112920.0,1467831.0,0.132982,93207050.0,2013.0,14659.0,10956.0,6501.0,6859.0,987.0,43.0,1494.0,83.0,1015.0,0.0,5849.0,8111.0,1015.0,553.0,2490.0,6501.0
91233,2014-11-28,0.042269,87.29,1112920.0,803485.0,0.042269,97146786.80000001,2013.0,14659.0,10956.0,6501.0,6859.0,987.0,43.0,1494.0,83.0,1015.0,0.0,5849.0,8111.0,1015.0,553.0,2490.0,6501.0
91233,2014-12-31,-0.012945,86.16,1112920.0,928410.0,-0.012945,95889187.2,2013.0,14659.0,10956.0,6501.0,6859.0,987.0,43.0,1494.0,83.0,1015.0,0.0,5849.0,8111.0,1015.0,553.0,2490.0,6501.0
91233,2015-01-30,-0.046077,82.03,1112920.0,1092332.0,-0.047934,91292827.6,2013.0,15329.0,10997.0,6790.0,6845.0,1222.0,45.0,1501.0,84.0,801.0,0.0,6222.0,8505.0,801.0,615.0,2411.0,6790.0
91233,2015-02-27,0.098744,90.13,1111261.0,1059238.0,0.098744,100157953.92999999,2013.0,15329.0,10997.0,6790.0,6845.0,1222.0,45.0,1501.0,84.0,801.0,0.0,6222.0,8505.0,801.0,615.0,2411.0,6790.0
91233,2015-03-31,-0.041496,86.39,1111261.0,1031282.0,-0.041496,96001837.79,2013.0,15329.0,10997.0,6790.0,6845.0,1222.0,45.0,1501.0,84.0,801.0,0.0,6222.0,8505.0,801.0,615.0,2411.0,6790.0
91233,2015-04-30,0.04607,90.21,1116113.0,983777.0,0.044218,100684553.72999999,2013.0,14633.0,10348.0,6301.0,6336.0,792.0,45.0,1495.0,87.0,1020.0,0.0,5937.0,8299.0,1020.0,602.0,2230.0,6301.0
91233,2015-05-29,0.022725,92.26,1116113.0,775099.0,0.022725,102972585.38000001,2013.0,14633.0,10348.0,6301.0,6336.0,792.0,45.0,1495.0,87.0,1020.0,0.0,5937.0,8299.0,1020.0,602.0,2230.0,6301.0
91233,2015-06-30,0.013224,93.48,1116113.0,745098.0,0.013224,104334243.24000001,2013.0,14633.0,10348.0,6301.0,6336.0,792.0,45.0,1495.0,87.0,1020.0,0.0,5937.0,8299.0,1020.0,602.0,2230.0,6301.0
91233,2015-07-31,0.043646,97.4,1108884.0,959662.0,0.041934,108005301.60000001,2013.0,15272.0,10217.0,6404.0,5618.0,986.0,45.0,1495.0,92.0,921.0,0.0,6476.0,8836.0,921.0,632.0,2390.0,6404.0
91233,2015-08-31,-0.051643,92.37,1108884.0,916959.0,-0.051643,102427615.08,2013.0,15272.0,10217.0,6404.0,5618.0,986.0,45.0,1495.0,92.0,921.0,0.0,6476.0,8836.0,921.0,632.0,2390.0,6404.0
91233,2015-09-30,-0.024359,90.12,1108884.0,999045.0,-0.024359,99932626.08,2013.0,15272.0,10217.0,6404.0,5618.0,986.0,45.0,1495.0,92.0,921.0,0.0,6476.0,8836.0,921.0,632.0,2390.0,6404.0
91233,2015-10-30,0.1002,98.99,1100234.0,822459.0,0.098424,108912163.66,2013.0,14634.0,9625.0,6267.0,5650.0,988.0,45.0,1495.0,94.0,977.0,0.0,5943.0,8336.0,977.0,641.0,2530.0,6267.0
91233,2015-11-30,-0.010809,97.92,1100234.0,730981.0,-0.010809,107734913.28,2013.0,14634.0,9625.0,6267.0,5650.0,988.0,45.0,1495.0,94.0,977.0,0.0,5943.0,8336.0,977.0,641.0,2530.0,6267.0
91233,2015-12-31,-0.005719,97.36,1100234.0,767341.0,-0.005719,107118782.24,2013.0,14634.0,9625.0,6267.0,5650.0,988.0,45.0,1495.0,94.0,977.0,0.0,5943.0,8336.0,977.0,641.0,2530.0,6267.0
91233,2016-01-29,-0.083607,89.03,1100234.0,1305559.0,-0.085559,97953833.02,2013.0,16269.0,10985.0,6028.0,7279.0,1317.0,16.0,3292.0,93.0,890.0,0.0,6269.0,10207.0,890.0,675.0,2517.0,6028.0
91233,2016-02-29,-0.0237,86.92,1089482.0,1022289.0,-0.0237,94697775.44,2013.0,16269.0,10985.0,6028.0,7279.0,1317.0,16.0,3292.0,93.0,890.0,0.0,6269.0,10207.0,890.0,675.0,2517.0,6028.0
91233,2016-03-31,0.087207,94.5,1089482.0,854947.0,0.087207,102956049.0,2013.0,16269.0,10985.0,6028.0,7279.0,1317.0,16.0,3292.0,93.0,890.0,0.0,6269.0,10207.0,890.0,675.0,2517.0,6028.0
91233,2016-04-29,0.02836,96.99,1078666.0,851507.0,0.026349,104619815.33999999,2013.0,15905.0,10606.0,5479.0,6750.0,1003.0,16.0,3333.0,95.0,959.0,0.0,6440.0,10394.0,959.0,669.0,2446.0,5479.0
91233,2016-05-31,-0.011238,95.9,1078315.0,580428.0,-0.011238,103410408.5,2013.0,15905.0,10606.0,5479.0,6750.0,1003.0,16.0,3333.0,95.0,959.0,0.0,6440.0,10394.0,959.0,669.0,2446.0,5479.0
